fecha,descripcion,categoria,subcategoria,metodo_pago,importe,moneda,tipo,comercio,etiquetas
2025-01-02,Nómina Empresa X,Ingreso,Nómina,Transferencia,1850.00,EUR,CR,EMPRESA X SL,"salario,fijo"
2025-01-03,Supermercado Mercadona,Gasto,Supermercado,Débito,-56.75,EUR,DB,MERCADONA,"comida,variable"
2025-01-03,Café y tostada,Gasto,Ocio,Débito,-3.20,EUR,DB,BAR CENTRO,"desayuno,pequeño"
2025-01-04,Netflix,Gasto,Entretenimiento,Tarjeta crédito,-12.99,EUR,DB,NETFLIX,"suscripcion,fijo"
2025-01-04,Alquiler piso,Gasto,Vivienda,Transferencia,-750.00,EUR,DB,ARRENDADOR PISO,"alquiler,fijo"
2025-01-05,Recibo luz,Gasto,Suministros,Domiciliación,-62.30,EUR,DB,ENDESA,"luz,fijo"
2025-01-05,Recibo agua,Gasto,Suministros,Domiciliación,-28.40,EUR,DB,EMASESA,"agua,fijo"
2025-01-06,Amazon compra,Gasto,Otros,Tarjeta crédito,-27.99,EUR,DB,AMAZON EU,"online,variable"
2025-01-06,Transferencia de amigo,Ingreso,Reintegro,Transferencia,25.00,EUR,CR,JUAN PEREZ,"bizum,ocio"
2025-01-06,Transferencia a tarjeta crédito,Traspaso,Tarjeta crédito,Transferencia,-150.00,EUR,DB,TARJETA VISA,"traspaso,credito"
2025-01-07,Gasolina coche,Gasto,Transporte,Débito,-45.10,EUR,DB,REPSOL,"coche,variable"
2025-01-07,Parking centro,Gasto,Transporte,Débito,-6.50,EUR,DB,APK CENTRO,"coche,parking"
2025-01-08,Compra fruta,Gasto,Supermercado,Débito,-13.45,EUR,DB,FRUTERIA BARRIO,"comida,salud"
2025-01-08,Restaurante cena,Gasto,Ocio,Tarjeta crédito,-32.80,EUR,DB,RESTAURANTE GIRALDA,"restaurante,ocio"
2025-01-09,Spotify,Gasto,Entretenimiento,Tarjeta crédito,-10.99,EUR,DB,SPOTIFY,"musica,suscripcion"
